Reactions,Min Solutions,Max Solutions,Solution Biomass
PFK,25.29064376594452,25.29064376594452,0.8739215069684301
PFL,11.32232402400863,11.32232402400863,0.8739215069684301
PGI,9.838761481964324,9.838761481964324,0.8739215069684301
PGK,-9.863235433516955,-9.863235433516955,0.8739215069684301
PGL,24.137800736118848,24.137800736118848,0.8739215069684301
ACALD,0.0,0.0,0.8739215069684301
AKGt2r,0.0,0.0,0.8739215069684301
PGM,-8.686587516534662,-8.686587516534662,0.8739215069684301
PIt2r,3.2148950476847657,3.2148950476847657,0.8739215069684301
ALCD2x,0.0,0.0,0.8739215069684301
ACALDt,0.0,0.0,0.8739215069684301
ACKr,0.0,0.0,0.8739215069684301
PPC,20.346865929486913,20.346865929486913,0.8739215069684301
ACONTa,8.894520101187698,8.894520101187698,0.8739215069684301
ACONTb,8.894520101187698,8.894520101187698,0.8739215069684301
ATPM,25.551000000000037,25.551000000000037,0.8739215069684301
PPCK,17.161000000000044,17.161000000000044,0.8739215069684301
ACt2r,0.0,0.0,0.8739215069684301
PPS,17.161000000000016,17.161000000000016,0.8739215069684301
ADK1,17.161000000000016,17.161000000000016,0.8739215069684301
AKGDH,8.045933578706283,8.045933578706283,0.8739215069684301
ATPS4r,59.38106236856613,59.38106236856613,0.8739215069684301
PTAr,3.8135555555555505,3.8135555555555505,0.8739215069684301
PYK,21.382992887528687,21.382992887528687,0.8739215069684301
BIOMASS_Ecoli_core_w_GAM,0.8739215069684301,0.8739215069684301,0.8739215069684301
PYRt2,0.0,0.0,0.8739215069684301
CO2t,-15.206525955175845,-15.206525955175845,0.8739215069684301
RPE,15.526509856124548,15.526509856124548,0.8739215069684301
CS,8.894520101187698,8.894520101187698,0.8739215069684301
RPI,-0.5653573012880168,-0.5653573012880168,0.8739215069684301
SUCCt2_2,22.881333333333373,22.881333333333373,0.8739215069684301
CYTBD,51.23908678079778,51.23908678079778,0.8739215069684301
D_LACt2,0.0,0.0,0.8739215069684301
ENO,16.732521095240944,16.732521095240944,0.8739215069684301
SUCCt3,22.881333333333373,22.881333333333373,0.8739215069684301
