ngam,gam,biomass,status
0,40.0,0.981483851114492,optimal
0,45.0,0.947818465159269,optimal
0,50.0,0.916385970271409,optimal
0,55.0,0.886971346623257,optimal
0,60.0,0.859386240500891,optimal
0,70.0,0.80830610212977,optimal
0,75.55,0.782025532520897,optimal
0,80.0,0.762156795096783,optimal
0,100.0,0.684047037733596,optimal
1,40.0,0.974861891548488,optimal
1,45.0,0.941423642111397,optimal
1,50.0,0.910203217466716,optimal
1,55.0,0.880987052142114,optimal
1,60.0,0.85358760827725,optimal
1,70.0,0.802648930336184,optimal
1,75.55,0.776552293146844,optimal
1,80.0,0.756822613018754,optimal
1,100.0,0.679259530133228,optimal
2,40.0,0.968239931982467,optimal
2,45.0,0.935028819063555,optimal
2,50.0,0.904020465883976,optimal
2,55.0,0.875002754438046,optimal
2,60.0,0.847788976053629,optimal
2,70.0,0.796991758542521,optimal
2,75.55,0.77107905377276,optimal
2,80.0,0.751488430940721,optimal
2,100.0,0.674472022532842,optimal
3,40.0,0.961617972416454,optimal
3,45.0,0.928633996015701,optimal
3,50.0,0.89783771430124,optimal
3,55.0,0.869018438736806,optimal
3,60.0,0.841990334667238,optimal
3,70.0,0.791334586748882,optimal
3,75.55,0.765605814398673,optimal
3,80.0,0.746154248862692,optimal
3,100.0,0.669684514932463,optimal
4,40.0,0.95499601285043,optimal
4,45.0,0.922239172967828,optimal
4,50.0,0.891654962718492,optimal
4,55.0,0.863034123035571,optimal
4,60.0,0.836191689194194,optimal
4,70.0,0.785677414955239,optimal
4,75.55,0.760132575024627,optimal
4,80.0,0.740820066784668,optimal
4,100.0,0.664897007332068,optimal
5,40.0,0.948374053284425,optimal
5,45.0,0.915844349919979,optimal
5,50.0,0.885472211135766,optimal
5,55.0,0.857049486572051,optimal
5,60.0,0.830295406890626,optimal
5,70.0,0.780020243161614,optimal
5,75.55,0.754659335650545,optimal
5,80.0,0.735485884706626,optimal
5,100.0,0.660109499703594,optimal
6,40.0,0.941752093718404,optimal
6,45.0,0.909449526872121,optimal
6,50.0,0.879289459553024,optimal
6,55.0,0.85106471274207,optimal
6,60.0,0.824273609639317,optimal
6,70.0,0.774363071367978,optimal
6,75.55,0.749186096276494,optimal
6,80.0,0.730151702628586,optimal
6,100.0,0.655321053558268,optimal
7,40.0,0.935130134152374,optimal
7,45.0,0.903054703824271,optimal
7,50.0,0.873106693585592,optimal
7,55.0,0.845079933568245,optimal
7,60.0,0.818251812387992,optimal
7,70.0,0.768705899574352,optimal
7,75.55,0.7437128569024,optimal
7,80.0,0.724817520550577,optimal
7,100.0,0.650518127424675,optimal
