Iteration,Biomass
0,0.0132774486331653
1,0.00235728910551827
2,0.0342410411991642
3,0.0634901331589361
4,0.0679122627005343
5,0.053579214156688
6,0.028678555593633
7,0.0792875320751604
8,0.0647563535225595
9,0.0647563535225595
10,0.0192000938183282
11,0.0374533664345999
12,0.0699477578618177
13,0.0161077485087571
14,0.0161077485087571
15,0.0161077485087571
16,0.0161077485087571
17,0.0161077485087571
18,0.00358824223373115
19,0.00309288183959525
20,0.00179575087625366
21,0.00179575087625366
22,0.00179575087625366
23,0.0168388047795691
24,0.00855012257842726
25,0.0509626613447966
26,0.0724593463756641
27,0.0550135538483025
28,0.0626708392655838
29,0.0538647286832178
30,0.0402893437730436
31,0.0315183663134824
32,0.00769209464505979
33,0.0406057445550124
34,0.0756147032752571
35,0.0184888214624943
36,0.0243995549721289
37,0.0315504786718185
38,0.105901302659926
39,0.0806880398187032
40,0.0844956474913536
41,0.0840960913248751
42,0.0654329686020152
43,0.0600174261407422
44,0.0964554872029065
45,0.0645344530146106
46,0.0112581963925504
47,0.00343822139198462
48,0.0801704619602654
49,0.0470689328045853
50,0.0512704370212963
51,0.0474853850052164
52,0.0125977159485762
53,0.0315964337936973
54,0.0104041355552943
55,0.0211084052119309
56,0.0211084052119309
57,0.0180309527416318
58,0.0154706131187905
59,0.0609760567803984
60,0.114704888942725
61,0.0908820576688573
62,0.103291748228006
63,0.0350077717363204
64,0.0353497373260723
65,0.0230860847349072
66,0.0230860847349072
67,0.0207669565029184
68,0.0824534537005816
69,0.0235579373195204
70,0.0030959099434549
71,0.0424628754976731
72,0.0241407200636151
73,0.0543062587197847
74,0.0543062587197847
75,0.00373681084245211
76,0.0489833483051096
77,0.0304854317284501
78,0.0648632505842895
79,0.00143070937186785
80,0.00715637651086823
81,0.0210263602300483
82,0.00508108492446938
83,0.0596959940048074
84,0.0986480559344122
85,0.0769109158743
86,0.0772241020887803
87,0.102137281675483
88,0.0793500450332909
89,0.0413027692263324
90,0.0696191748096846
91,0.0123215348852982
92,0.00423453510819933
93,0.00423453510819933
94,0.0581102665316077
95,0.0600199814750013
96,0.0114805879403268
97,0.0114805879403268
98,0.00178691183926915
99,0.0149428271679282
100,0.0276474819629113
101,0.0744564457914587
102,0.0498970976566266
103,0.0478266384592244
104,0.0756170458419021
105,0.0721752281596289
106,0.0752940754402465
107,0.0947422375578752
108,0.0925687842029762
109,0.0118472922710546
110,0.0118472922710546
111,0.0146366439666635
112,0.00725396622857835
113,0.00725396622857835
114,0.00571485671988313
115,0.00563609930051181
116,0.0102335357817072
117,0.0163960909006258
118,0.0679662557361567
119,0.0707748960835641
120,0.0808119790779052
121,0.103761790062529
122,0.050425027042765
123,0.0990488206382954
124,0.0851029430732447
125,0.0237468936583083
126,0.0591110662748391
127,0.0591110662748391
128,0.0400161569831829
129,0.0533900672447323
130,0.0821853270520294
131,0.0893512097716863
132,0.0893802301835534
133,0.0811759024876049
134,0.0874480502343753
135,0.0271809424090471
136,0.0660701682657622
137,0.0618418058455586
138,0.0100138614618902
139,0.00775539656444397
140,0.00775539656444397
141,0.034149254887235
142,0.0329799794277096
143,0.0622178003239347
144,0.0622178003239347
145,0.0908297325048085
146,0.0756457385030879
147,0.0846860339614327
148,0.0961118718497019
149,0.0181027578169733
150,0.0181027578169733
151,0.0170533318503291
152,0.0598820734406698
153,0.0701708083433119
154,0.0802480264518017
155,0.0402559649485811
156,0.0331985933352436
157,0.0308744245790569
158,0.0239457185386006
159,0.0468783257027238
160,0.0808936312163194
161,0.101683834994217
162,0.101683834994217
163,0.0796753001967102
164,0.0796753001967102
165,0.0282362922418233
166,0.0282362922418233
167,0.0338809968066445
168,0.0686136348864536
169,0.0592684377740338
170,0.0331471236603864
171,0.0218941321855086
172,0.048714875921763
173,0.0590622726948592
174,0.076713931533171
175,0.111802258208894
176,0.111802258208894
177,0.111802258208894
178,0.111802258208894
179,0.111802258208894
180,0.10216093487124
181,0.10216093487124
182,0.10216093487124
183,0.10216093487124
184,0.10216093487124
185,0.110271975146088
186,0.110271975146088
187,0.110271975146088
188,0.110271975146088
189,0.110271975146088
190,0.111847059944389
191,0.111847059944389
192,0.111847059944389
193,0.111847059944389
194,0.111847059944389
195,0.111847059944389
196,0.111847059944389
197,0.114938767815099
198,0.114938767815099
199,0.136339005308229
200,0.136339005308229
201,0.136339005308229
202,0.136339005308229
203,0.136339005308229
204,0.140905217628271
205,0.140905217628271
206,0.140905217628271
207,0.140905217628271
208,0.140905217628271
209,0.140905217628271
210,0.140905217628271
211,0.140905217628271
212,0.140905217628271
213,0.140905217628271
214,0.140905217628271
215,0.140905217628271
216,0.140905217628271
217,0.140905217628271
218,0.140905217628271
219,0.140905217628271
220,0.140905217628271
221,0.140905217628271
222,0.140905217628271
223,0.140905217628271
224,0.140905217628271
225,0.140905217628271
