Reactions,Min Solutions,Max Solutions,Solution Biomass
ACALD,0.0,0.431193959871739,0.0132774486331653
ACALD_reverse,0.0,0.431193959871739,0.0132774486331653
ACALDt,0.0,1000.0,0.0132774486331653
ACALDt_reverse,0.0,1000.0,0.0132774486331653
ACKr,0.0,2.16809007738443,0.0132774486331653
ACKr_reverse,0.672444210847705,3.82904268766146,0.0132774486331653
ACONTa,0.0128925353972898,0.297481787998475,0.0132774486331653
ACONTa_reverse,0.0,0.284589252601182,0.0132774486331653
ACONTb,0.0128925353972898,0.317086998396484,0.0132774486331653
ACONTb_reverse,0.0,0.304194462999195,0.0132774486331653
ACt2r,0.0,999.327555789152,0.0132774486331653
ACt2r_reverse,0.67244421084774,1000.0,0.0132774486331653
ADK1,0.0,1.54085558519707,0.0132774486331653
ADK1_reverse,0.0,1.54085558519669,0.0132774486331653
AKGDH,0.0,0.0548645425162321,0.0132774486331653
AKGt2r,0.0,1.21287787424522,0.0132774486331653
AKGt2r_reverse,0.0,1.21287787424484,0.0132774486331653
ALCD2x,0.0,0.272607867991617,0.0132774486331653
ALCD2x_reverse,0.0,0.272607867991617,0.0132774486331653
ATPM,8.39,8.49276890521245,0.0132774486331653
ATPS4r,4.94540754636131,7.65158404830075,0.0132774486331653
ATPS4r_reverse,0.0,0.084360992467286,0.0132774486331653
BIOMASS_Ecoli_core_w_GAM,0.0119497037698488,0.0132774486331653,0.0132774486331653
CO2t,0.0,998.011216633068,0.0132774486331653
CO2t_reverse,1.98878336693197,1000.0,0.0132774486331653
CS,0.0128925353972898,0.0677570779135219,0.0132774486331653
CYTBD,4.10111063245509,6.17800132521686,0.0132774486331653
D_LACt2,0.0,0.154310795792356,0.0132774486331653
D_LACt2_reverse,0.0,0.154310795792339,0.0132774486331653
ENO,0.842560734958017,4.70253663069684,0.0132774486331653
ENO_reverse,0.0,3.02566680486877,0.0132774486331653
ETOHt2r,0.0,1000.0,0.0132774486331653
ETOHt2r_reverse,0.0,1000.0,0.0132774486331653
EX_ac_e,0.672444210847714,2.04535527326682,0.0132774486331653
EX_ac_e_reverse,0.0,0.0,0.0132774486331653
EX_acald_e,0.0,0.105341180472834,0.0132774486331653
EX_acald_e_reverse,0.0,0.0,0.0132774486331653
EX_akg_e,0.0,0.0368640694230281,0.0132774486331653
EX_akg_e_reverse,0.0,0.0,0.0132774486331653
EX_co2_e,1.98878336693199,1000.0,0.0132774486331653
EX_co2_e_reverse,0.0,998.011216633068,0.0132774486331653
EX_etoh_e,0.0,0.108660929780068,0.0132774486331653
EX_etoh_e_reverse,0.0,0.0,0.0132774486331653
EX_for_e,0.0,0.181787575199778,0.0132774486331653
EX_for_e_reverse,0.0,0.0,0.0132774486331653
EX_fru_e,0.0,0.0,0.0132774486331653
EX_fru_e_reverse,0.0,0.0,0.0132774486331653
EX_fum_e,0.0,0.0,0.0132774486331653
EX_fum_e_reverse,0.0,0.0,0.0132774486331653
EX_glc__D_e,0.0,9.16956815649883,0.0132774486331653
EX_glc__D_e_reverse,0.830431843501165,10.0,0.0132774486331653
EX_gln__L_e,0.0,0.0,0.0132774486331653
EX_gln__L_e_reverse,0.0,0.0,0.0132774486331653
EX_glu__L_e,0.0,0.0373293688927954,0.0132774486331653
EX_glu__L_e_reverse,0.0,0.0,0.0132774486331653
EX_h2o_e,2.07582978907303,1000.0,0.0132774486331653
EX_h2o_e_reverse,0.0,997.924170210927,0.0132774486331653
EX_h_e,0.930857182536139,1000.0,0.0132774486331653
EX_h_e_reverse,0.0,999.069142817464,0.0132774486331653
EX_lac__D_e,0.0,0.117963249325353,0.0132774486331653
EX_lac__D_e_reverse,0.0,0.0,0.0132774486331653
EX_mal__L_e,0.0,0.0,0.0132774486331653
EX_mal__L_e_reverse,0.0,0.0,0.0132774486331653
EX_nh4_e,0.0,999.934840655284,0.0132774486331653
EX_nh4_e_reverse,0.0651593447162314,1000.0,0.0132774486331653
EX_o2_e,0.0,997.949444683772,0.0132774486331653
EX_o2_e_reverse,2.05055531622755,1000.0,0.0132774486331653
EX_pi_e,0.0,999.956040624742,0.0132774486331653
EX_pi_e_reverse,0.0439593752581531,1000.0,0.0132774486331653
EX_pyr_e,0.0,0.214859356961686,0.0132774486331653
EX_pyr_e_reverse,0.0,0.0,0.0132774486331653
EX_succ_e,0.0,0.0449661501209519,0.0132774486331653
EX_succ_e_reverse,0.0,0.0,0.0132774486331653
FBA,0.0415648578091204,1.10593879234006,0.0132774486331653
FBA_reverse,0.0,0.0363895228123213,0.0132774486331653
FBP,0.0,0.0708823747098897,0.0132774486331653
FORt,0.0,0.0,0.0132774486331653
FORt2,0.0,0.458832525552525,0.0132774486331653
FORt_reverse,0.0,0.458832525552468,0.0132774486331653
FRD7,0.0,0.255674734364484,0.0132774486331653
FRUpts2,0.0,0.0,0.0132774486331653
FUM,0.0,0.274379450001753,0.0132774486331653
FUM_reverse,0.0,0.274379450001722,0.0132774486331653
