Reactions,Min Solutions,Max Solutions,Solution Biomass
ALATA_D2,0.0,0.7305343976152988,0.10137082394648692
SHCHD2,2.0345124366059923e-05,2.2605663440384337e-05,0.10137082394648692
CPPPGO,0.0,0.02433074142713755,0.10137082394648692
GTHOr,0.0,3.4026346103967766,0.10137082394648692
DHORD5,0.0,0.24769995739143447,0.10137082394648692
GLYCTO2,0.0,1.4585832080829664,0.10137082394648692
GLYCTO3,0.0,1.627594146938188,0.10137082394648692
GLYCTO4,0.0,0.5191972599190076,0.10137082394648692
PFK_3,0.0,2.6569529355650996,0.10137082394648692
TRPS2,0.0,0.13599209444769336,0.10137082394648692
G3PD5,0.0,1.7376891271231885,0.10137082394648692
EX_acgam_e,0.0,0.0,0.10137082394648692
EX_cellb_e,0.0,0.0,0.10137082394648692
EX_chol_e,0.0,0.0,0.10137082394648692
LEUTAi,0.04110362881509123,0.7523734187668002,0.10137082394648692
SHK3Dr,0.03477091234649503,0.10192698662910829,0.10137082394648692
G5SD,0.0201676747387416,0.9385966715735522,0.10137082394648692
ALATA_L2,0.0,0.8951765384944141,0.10137082394648692
MAN6PI,0.0,0.0,0.10137082394648692
APRAUR,4.0690248732100365e-05,0.03657817142179901,0.10137082394648692
DB4PS,8.138049746425624e-05,0.0731552876508133,0.10137082394648692
RBFK,2.034512436604044e-05,0.7203502470500549,0.10137082394648692
ACP1_FMN,0.0,0.7203299019259086,0.10137082394648692
RBFSb,4.069024873212812e-05,0.036577543989830374,0.10137082394648692
EX_pi_e,-0.1641253419516232,-0.08800461450335928,0.10137082394648692
EX_h_e,-4.707181305588392,16.96185455993024,0.10137082394648692
DMATT,2.5362980151410974e-05,2.818081223628392e-05,0.10137082394648692
GRTT,2.5362980151410974e-05,2.81810890571233e-05,0.10137082394648692
UPP3S,4.0690248732119847e-05,0.02435108621392823,0.10137082394648692
UPPDC1,2.0345124366059923e-05,0.02433074108956761,0.10137082394648692
TMDPP,0.0,0.11818134460122565,0.10137082394648692
EX_ade_e,0.0,0.06307790177815902,0.10137082394648692
EX_4abut_e,0.0,0.48165632745300324,0.10137082394648692
EX_ac_e,0.0,8.837700388086422,0.10137082394648692
EX_akg_e,0.0,0.6394897718762452,0.10137082394648692
EX_ala__L_e,0.0,3.1178981773673944,0.10137082394648692
EX_arg__L_e,0.0,0.15056426378898372,0.10137082394648692
EX_asp__L_e,0.0,1.048200498335528,0.10137082394648692
EX_cytd_e,0.0,0.12259549332618638,0.10137082394648692
EX_dcyt_e,0.0,0.0,0.10137082394648692
EX_fum_e,0.0,1.248615066501347,0.10137082394648692
EX_glu__L_e,0.0,0.5987245988491764,0.10137082394648692
EX_gua_e,0.0,0.06283919166874068,0.10137082394648692
HCO3E,0.047954644169447266,0.41576798112539687,0.10137082394648692
IMPC,-0.12985599001234568,-0.04949722427160219,0.10137082394648692
IMPD,0.0,0.43959551917309336,0.10137082394648692
ECOAH4,-0.024379573809107814,0.09669959639279568,0.10137082394648692
GLUTRS,0.00032552198985695877,0.19480869009782184,0.10137082394648692
TMPPP,2.0345124366059923e-05,2.260543465268746e-05,0.10137082394648692
URIK1,0.0,0.8106857969427614,0.10137082394648692
URIK2,0.0,0.8080576290674091,0.10137082394648692
CYTDK1,0.0,0.7912756855078613,0.10137082394648692
CYTDK2,0.0,0.6221152039031884,0.10137082394648692
XPPT,0.0,0.5035149885629374,0.10137082394648692
HXPRT,0.0,0.4178093030041959,0.10137082394648692
NDPK5,-0.24199020337673258,0.49686390577988104,0.10137082394648692
