Reactions,Single_gene,enzyme_mass,kcat_mean,kcat_std
PDH,b0114,0.0341988439001365,2.139792950877696,0.9302136146742939
PDH,b0114,0.0341988439001365,3.5743097356798272,2.282861178930637
PDH,b0114,0.0341988439001365,4.447060113881708,1.8728689102899527
EDA,b1850,0.01927354606315202,0.902042586964893,2.0135791704583403
OAADC,b1850,0.01927354606315202,1.3816972031863768,3.0882288291230546
OAADC,b1850,0.01927354606315202,8.838772666695029,19.75291502426333
PTAr,b2297,0.018012400467161026,3.5204207694951704,1.2592336396758976
PTAr,b2297,0.018012400467161026,6.459270944443598,2.6176842664402313
PTAr,b2297,0.018012400467161026,6.459270944443598,2.6176842664402313
PTA2,b2297,0.018012400467161026,6.459270944443598,2.6176842664402313
PTA2,b2297,0.018012400467161026,6.459270944443598,2.6176842664402313
PTA2,b2297,0.018012400467161026,,
EDD,b1851,0.0123382941814348,4.087286999688239,3.1041384371199583
GLUtex,b1377,0.011939382653780061,9.748807961201386,4.170335808590442
GLUtex,b1377,0.011939382653780061,9.748807961201386,4.170335808590442
GLYtex,b1377,0.011939382653780061,5.594519435288058,2.6985472826875077
GLYtex,b1377,0.011939382653780061,5.594519435288058,2.6985472826875077
GLYALDtex,b1377,0.011939382653780061,2.4713782653430796,1.3670996278452738
GLYALDtex,b1377,0.011939382653780061,2.4713782653430796,1.3670996278452738
GLYBtex,b1377,0.011939382653780061,5.560619381676636,4.223230863751473
GLYBtex,b1377,0.011939382653780061,5.560619381676636,4.223230863751473
GLYCtex,b1377,0.011939382653780061,6.092915711632085,3.270489787593381
GLYCtex,b1377,0.011939382653780061,6.092915711632085,3.270489787593381
GLYC3Ptex,b1377,0.011939382653780061,3.2148529682417135,1.5266618175245634
GLYC3Ptex,b1377,0.011939382653780061,3.2148529682417135,1.5266618175245634
GLYCLTtex,b1377,0.011939382653780061,14.134805330413077,8.758707790169483
GLYCLTtex,b1377,0.011939382653780061,14.134805330413077,8.758707790169483
GTPtex,b1377,0.011939382653780061,2.814544895099015,0.6951009893836892
GTPtex,b1377,0.011939382653780061,2.814544895099015,0.6951009893836892
Htex,b1377,0.011939382653780061,8.286805110566636,3.3976029682241604
