Iteration,Biomass
0,0.0229917133376624
1,0.00704094488969037
2,0.00925933781900302
3,0.010107045556432
4,0.0129098485606659
5,0.0208529074003857
6,0.0266690310488102
7,0.0211290668638592
8,0.0199717326261941
9,0.0208825246939504
10,0.0187206792864229
11,0.0280927308750585
12,0.0321292668713092
13,0.0394524820767068
14,0.0394524820767068
15,0.0394524820767068
16,0.105126781695574
17,0.100944354276527
18,0.093091687388937
19,0.156709031656812
20,0.179046414353833
21,0.175864954694713
22,0.17768793891405
23,0.226606615055866
24,0.194068548329417
25,0.195786203545245
26,0.201417648610422
27,0.205093934831569
28,0.20791761016641
29,0.209860129348498
30,0.232628322423785
31,0.233241304396302
32,0.238052862961265
33,0.241646480826144
34,0.242350201492375
35,0.242666861928155
36,0.243552035033896
37,0.245543538066761
38,0.355723875131869
39,0.369984611831201
40,0.375283346057783
41,0.376440656094128
42,0.379374779611255
43,0.253512072114169
44,0.253519557210261
45,0.25688945701901
46,0.257744850920304
47,0.259818122315452
48,0.260052878480575
49,0.260593504171641
50,0.263251031091795
51,0.263977173734144
52,0.26414874109875
53,0.265374575850702
54,0.266143921439632
55,0.266363820996791
56,0.266661444180661
57,0.266964993167071
58,0.26729738614774
59,0.26766676301909
60,0.267894898481609
61,0.683283475651673
62,0.683773481461062
63,0.685049618384176
64,0.685165515602477
65,0.68553567991756
66,0.688448329831334
67,0.690924485476187
68,0.692328572487688
69,0.694164687744155
70,0.7018875908683
71,0.702213790807144
72,0.702372695336692
73,0.702735748788656
74,0.700095755394434
75,0.700189015101593
76,0.720957613908786
77,0.72307847129148
78,0.723148763915863
79,0.723428509642282
80,0.723494023984818
81,0.72367884635295
82,0.723688472232824
83,0.723735166073465
84,0.723649453547247
85,0.723695327380304
86,0.723736841151107
87,0.723750192474745
88,0.723781091909604
89,0.724684742806107
90,0.724723320609279
91,0.724783903942966
92,0.724854424620964
93,0.725243680158204
94,0.725381706756268
95,0.72816365286093
96,0.728251548215127
97,0.728599245740172
98,0.728926505841909
99,0.728923862634823
100,0.72898210734769
101,0.7290540907131
102,0.729319011517774
103,0.729354124210266
104,0.729386834705452
105,0.729395934888213
106,0.729708207891001
107,0.72982559257327
108,0.729889739252812
109,0.729992300984894
110,0.730074278029861
111,0.730094311335461
112,0.73024560483847
113,0.73025287103853
114,0.730340764840668
115,0.730358493227692
116,0.73198020363999
117,0.73199949381569
118,0.73200968901194
119,0.732025327608515
120,0.732030551537168
121,0.732051540149532
122,0.732067280703855
123,0.732129325820149
124,0.73324016847985
125,0.733262737210781
126,0.733313079362658
127,0.733326763939196
128,0.733478961663328
129,0.73348470558229
130,0.733500657001556
131,0.733546508998174
132,0.733629316935541
133,0.733635573728244
134,0.733668991780924
135,0.735740467912829
136,0.735766683971952
137,0.735843393042748
138,0.735866532142305
139,0.735871945671514
140,0.735867911772444
141,0.735867348853961
142,0.735958121455486
143,0.735961420980623
144,0.735970968690035
145,0.736072488495522
146,0.736101444471151
147,0.736162316024272
148,0.736161178671763
149,0.736161449865392
150,0.736158090513496
151,0.736154613341652
152,0.736153887251012
153,0.736377544988947
154,0.736282418631301
155,0.736283036630207
156,0.736286646880299
157,0.736339784621917
158,0.736335931792154
159,0.736370000411099
160,0.736372051035676
161,0.736425429684942
162,0.736792070240508
163,0.736808075830925
164,0.737031037269803
165,0.737034362852191
166,0.737069196160673
167,0.737069559293675
168,0.738589074494353
169,0.740544616842973
170,0.740548698047235
171,0.74136481096116
172,0.741363271147523
173,0.741320280132139
174,0.741335834584807
175,0.74133580416527
176,0.741409687773869
177,0.741470925793092
178,0.741474637140596
179,0.741471915203614
180,0.742127461191961
181,0.742131118435224
182,0.742389646606881
183,0.743012119996707
184,0.743026865110314
185,0.743032264632157
186,0.743032909179872
187,0.743031615015546
188,0.743030315722316
189,0.743043966380931
190,0.743043694324454
191,0.743043637607686
192,0.743049477076002
193,0.743078207346424
194,0.743080529975405
195,0.74344435247913
196,0.743436314150051
197,0.743436501668452
198,0.743429733508206
199,0.74343135985512
200,0.743437302316983
201,0.743852926622924
202,0.743852794975906
203,0.743852622301754
204,0.743851811089451
205,0.743878195861224
206,0.743888023303181
207,0.743887975561393
208,0.743900952696172
209,0.743905450852993
210,0.743899059601864
211,0.744052005837791
212,0.744051190792499
213,0.744065233775331
214,0.744073846982739
215,0.744096691685891
216,0.744101914589144
217,0.744056002880062
218,0.744334531267697
219,0.744334014762957
220,0.744326454052073
221,0.744325922407928
