Level,Biomass (1/hr),N Reactions (original),N Reactions (combined),AUC (Cumulative FVi),Mean FVi,Median FVi,Std FVi,Min FVi,Max FVi,Q25 FVi,Q75 FVi,% Zero Flux,% High Variability (FVi > 1),Mean FVR,Median FVR,Max FVR,% High Range (FVR ≥ 1900),N High Range Reactions,N Zero Flux,N High Variability
Level 1: Baseline GEM,0.8769972144269761,3682,2712,0.1485233321131616,551.7875556888256,43.20676056338094,839.571902403866,0.0,2000.0000000000002,3.896298581308594e-16,1000.0,21.497050147492626,69.10029498525073,551.7875556888256,43.20676056338094,2000.0000000000002,24.410029498525073,662,583,1874
Level 2: Single Enzyme,0.876997214426977,3682,2712,0.16867282225461053,402.8697926932594,19.649257317842398,745.0100407436162,0.0,2000.0,0.0,190.39649681846174,25.77433628318584,69.10029498525073,402.8697926932594,19.649257317842398,2000.0,17.182890855457227,466,699,1874
Level 3a: + Isoenzymes,0.82276159531271,3682,2712,0.19836048577651222,189.80662800065105,11.72113226326265,458.9984874242613,0.0,2000.0,0.0,102.13654395838259,25.737463126843657,68.58407079646017,189.80662800065105,11.72113226326265,2000.0,4.646017699115045,126,698,1860
Level 3b: + Complexes,0.743586168104452,3682,2712,0.18764902032660982,384.41774208879787,11.59035430206345,742.1871483970964,0.0,2000.0,0.0,130.727471438366,25.737463126843657,69.06342182890856,384.41774208879787,11.59035430206345,2000.0,16.85103244837758,457,698,1873
Level 3c: + Promiscuous,0.0229917136057464,3682,2712,0.34940837484331744,74.8050385775032,0.4641608228520335,353.8051474218494,0.0,2000.0,0.0,5.654584375197603,26.216814159292035,43.325958702064895,74.8050385775032,0.4641608228520335,2000.0,3.171091445427729,86,711,1175
Level 4: All Constraints,0.0229917133376624,3682,2712,0.35005569240922385,74.80503857860765,0.464160822852031,353.8051474216158,0.0,2000.0,0.0,5.6545843751975955,26.14306784660767,43.325958702064895,74.80503857860765,0.464160822852031,2000.0,3.171091445427729,86,709,1175
Level 5: Post-Tuned,0.874946973523461,3682,2712,0.18000449732882973,391.3029738565215,15.613933053705551,743.6557599787304,0.0,2000.0,0.0,134.747186410785,25.77433628318584,68.952802359882,391.3029738565215,15.613933053705551,2000.0,16.113569321533923,437,699,1870
