Key,Value
PSCVT_b0908,0.060351184421782805
F6PA_b3946,59.53946161074366
GALt2pp_b2943,123.3982447321612
GLCt2pp_b2943,104.40472869117949
PYK_b1854,61.523022491363385
PYK2_b1854,70.88217538393415
PYK3_b1854,47.96808256871926
PYK4_b1854,46.81081060350058
PYK6_b1854,71.06960003955943
F6PA_b0825,65.41939031210033
CYTBDpp_b0979,103.34919740756278
CYTBD2pp_b0979,88.40421599652511
PGI_b4025,168.906028588876
GAPD_b1779,126.43606809832072
E4PD_b1779,117.88069501855743
NADPHHR_b1779,368.8902639329487
NADPHHS_b1779,340.0108400874298
NADHHS_b1779,90.03979555263764
NADHHR_b1779,134.68742078179878
ENO_b2779,448.47458282583233
GLUtex_b2215,50.74341170488971
GLYtex_b2215,42.54566398065663
GLYALDtex_b2215,25.908304908807025
GLYBtex_b2215,66.96896494725473
GLYCtex_b2215,95.15134826140701
GLYC3Ptex_b2215,22.143220892690266
GLYCLTtex_b2215,215.28193193383336
GTPtex_b2215,18.737187642528117
Htex_b2215,97.02994607378454
H2tex_b2215,99.17814083654291
H2Otex_b2215,
DAPtex_b2215,42.938915747557246
12PPDStex_b2215,98.8133080486457
DDGLCNtex_b2215,52.65285742022301
26DAHtex_b2215,251.76930662010722
HCINNMtex_b2215,21.717001946095174
HPPPNtex_b2215,30.020048454008318
ACtex_b2215,128.0261155891168
ACALDtex_b2215,277.4165809061624
ACMANAtex_b2215,101.2241406379414
ACMUMtex_b2215,249.17710259781816
GALtex_b2215,180.59383237363804
GALCTtex_b2215,91.48363381112246
GALCTNtex_b2215,36.82672256682483
GALTtex_b2215,49.393522936984645
GALURtex_b2215,141.09597790472915
GAMtex_b2215,28.832867104828136
GBBTNtex_b2215,35.276447608067116
HIStex_b2215,23.55156266363447
HXAtex_b2215,37.329541410724964
HYXNtex_b2215,66.8522790473536
IDONtex_b2215,45.548621066141585
ILEtex_b2215,167.62559293075287
INSTtex_b2215,164.7287057935084
Ktex_b2215,201.7930086914628
D_LACtex_b2215,145.2720040548323
FRULYStex_b2215,999.1669255783632
ASPtex_b2215,67.27918828819271
INDOLEtex_b2215,11.206763689321543
L_LACtex_b2215,117.86306225374635
GLCRtex_b2215,
GLCNtex_b2215,43.46105646937617
GLCURtex_b2215,242.58765671252593
GLNtex_b2215,65.13448192900287
O2tex_b2215,67.53660194137929
OCTAtex_b2215,21.647909371112185
ORNtex_b2215,201.92696330408015
RMNtex_b2215,395.16965105029954
PHEtex_b2215,37.17352953458294
PItex_b2215,90.91254564655138
PNTOtex_b2215,22.157425688928956
PPPNtex_b2215,82.67987049672477
PPTtex_b2215,
PTRCtex_b2215,83.5137659182302
PYRtex_b2215,362.9466247784441
DSERtex_b2215,93.29243297625982
SERtex_b2215,62.13252836713131
SO4tex_b2215,94.04628517815398
SPMDtex_b2215,184.54225804285068
SUCCtex_b2215,104.13953619364982
SUCRtex_b2215,288.3346173021879
TARTRtex_b2215,67.20524762088243
TAURtex_b2215,620.3485734090519
THRtex_b2215,58.95982148263166
THMDtex_b2215,37.713715424439236
METDtex_b2215,148.6177730910638
METtex_b2215,151.57695118532897
MNLtex_b2215,67.29556392545771
NAtex_b2215,107.58308753401371
NACtex_b2215,30.048583244324806
NH4tex_b2215,150.03296668905287
BUTtex_b2215,
CHLtex_b2215,59.61654813495625
CO2tex_b2215,210.12520848835146
CRNtex_b2215,115.1273480211216
DINStex_b2215,93.70059188229182
DMStex_b2215,83.60813169777005
CSNtex_b2215,23.44247616422391
CYNTtex_b2215,52.99850533139356
CYStex_b2215,73.75572548446294
CYTDtex_b2215,22.458524234078087
DCAtex_b2215,
DGSNtex_b2215,68.16917049866404
LCTStex_b2215,
LEUtex_b2215,124.08212598601892
LYStex_b2215,126.76390297345921
LYXtex_b2215,213.75359014069383
MANtex_b2215,197.59759360250806
MAN6Ptex_b2215,78.14860708953385
MELIBtex_b2215,
DMSOtex_b2215,80.20838588560596
FRUtex_b2215,158.73712821638108
FUCtex_b2215,
FUMtex_b2215,124.75957874089114
FE2tex_b2215,180.94374197316588
NMNtex_b2215,67.26954281425661
NO2tex_b2215,109.20917282342505
GDPtex_b2215,29.074166733366695
TMAtex_b2215,230.64953156815193
TMAOtex_b2215,115.86897082043768
TREtex_b2215,136.71930606921256
TRPtex_b2215,18.691231883504102
TSULtex_b2215,166.49570271515492
TYRtex_b2215,29.740713563866603
URAtex_b2215,63.70559119936633
UREAtex_b2215,134.41671784825436
VALtex_b2215,73.09293675554552
XANtex_b2215,46.54472259399646
XYLtex_b2215,342.3067091669539
ABUTtex_b2215,80.02032979479793
23CAMPtex_b2215,66.77835060125675
23CCMPtex_b2215,9.73859392879005
23CUMPtex_b2215,31.38637309221526
23CGMPtex_b2215,21.4295496127207
3AMPtex_b2215,406.4521864110705
3CMPtex_b2215,76.16475468010735
ETHSO3tex_b2215,237.5349341798379
BUTSO3tex_b2215,154.3899521652072
LIPOtex_b2215,40.46378209386059
GALBDtex_b2215,149.03644774210125
SULFACtex_b2215,208.5517840495582
NOtex_b2215,
N2Otex_b2215,171.1338445901461
PEAMNtex_b2215,33.448990413516434
PACALDtex_b2215,93.66841526283865
CYANtex_b2215,111.85270757755161
SO3tex_b2215,43.18384974209687
TCYNTtex_b2215,9.301066255311992
METSOX1tex_b2215,
METSOX2tex_b2215,64.85893942304966
3UMPtex_b2215,53.93176508509229
3GMPtex_b2215,164.78619773917796
DOPAtex_b2215,38.387910807995745
4HOXPACDtex_b2215,179.04934471396015
ETHAtex_b2215,101.39404725681368
G3PStex_b2215,52.924840898951885
ACGAL1Ptex_b2215,
ACGALtex_b2215,83.73824857091957
GLCUR1Ptex_b2215,
UDPGLCURtex_b2215,11.151874358049955
ISETACtex_b2215,712.0944400271311
UDPGtex_b2215,7.5075790581743
UDPGALtex_b2215,7.664662226669709
ACGAM1Ptex_b2215,139.90007845978462
UACGAMtex_b2215,18.222898454621447
UDPACGALtex_b2215,18.587931927418364
MSO3tex_b2215,113.7534496917914
GLYC2Ptex_b2215,63.74511542614839
PSERtex_b2215,54.08940128981445
R5Ptex_b2215,127.2273591037768
THRPtex_b2215,281.4236598150382
TYRPtex_b2215,54.68223915444216
CITtex_b2215,87.15533204118788
ACGAtex_b2215,117.45609603187653
G6Ptex_b2215,75.56331378733766
MOBDtex_b2215,121.81250244261491
NI2tex_b2215,
H2O2tex_b2215,100.53544722927528
ADEtex_b2215,94.86879662969503
AGMtex_b2215,20.52061603992682
ALAtex_b2215,47.33434791622794
BALAtex_b2215,36.11586687652671
DALAtex_b2215,46.56334602661954
AMPtex_b2215,
ARBtex_b2215,353.86097661218963
ARGtex_b2215,75.08694761186474
ASCBtex_b2215,83.45392596393351
MMETtex_b2215,47.49669658544041
FE3tex_b2215,115.51867704704344
MG2tex_b2215,101.9211761530298
Zn2tex_b2215,142.67792242767393
CD2tex_b2215,119.43974684340515
ASO3tex_b2215,155.6027525638966
MANGLYCtex_b2215,38.426352953975226
FRUURtex_b2215,284.4853424423312
GLYCAtex_b2215,58.35678566097942
COBALT2tex_b2215,84.85612483300685
DIMPtex_b2215,37.67015287086817
XTSNtex_b2215,30.634115371104073
HG2tex_b2215,130.71548999379445
DHAtex_b2215,108.08721642553084
ETOHtex_b2215,97.41058672405377
ACACtex_b2215,113.87106798416363
ACNAMtex_b2215,44.30909265059979
H2Stex_b2215,95.53905991041087
4PEPTtex_b2215,172.34492307583182
CU2tex_b2215,90.13745878345583
CLtex_b2215,64.95154334121982
PROtex_b2215,84.88301847242134
SBTtex_b2215,64.51935679438229
AKGtex_b2215,400.580096497707
ALLTNtex_b2215,365.0051714637697
ASNtex_b2215,69.94259665018573
TYMtex_b2215,44.528141678313766
CMPtex_b2215,14.90871005504252
DUMPtex_b2215,32.244079494627506
XMPtex_b2215,16.098278531900448
3PEPTtex_b2215,
ANHGMtex_b2215,22.19500578293504
FALDtex_b2215,113.43360871790892
CYSDtex_b2215,77.40250474078475
G3PItex_b2215,57.962427728338355
G3PGtex_b2215,53.29814236882538
G3PEtex_b2215,44.84092043997127
G3PCtex_b2215,42.61664139870209
DAMPtex_b2215,24.353552254135934
DCMPtex_b2215,12.29101010262822
DGMPtex_b2215,28.16541057996214
DTMPtex_b2215,12.641793015304051
GMPtex_b2215,20.2691841127133
IMPtex_b2215,66.15997146897557
UMPtex_b2215,16.071479938656864
G1Ptex_b2215,
SKMtex_b2215,328.9197171666259
MNtex_b2215,91.68121173069872
GAL1Ptex_b2215,145.2626260990942
O2Stex_b2215,
HOMtex_b2215,68.15063808531836
SO2tex_b2215,101.52057521373247
ACSERtex_b2215,58.701261159237504
ALAALAtex_b2215,140.12663468399074
MALtex_b2215,97.21786184082589
NO3tex_b2215,176.2812190188176
GSNtex_b2215,55.975980183394775
FORtex_b2215,167.60197622066332
RIBtex_b2215,151.19575673067735
THMtex_b2215,29.150584437447453
XYLUtex_b2215,123.91673258911187
ALLtex_b2215,147.80467374513591
34dhpactex_b2215,128.56066573473643
23DAPPAtex_b2215,43.0576364129568
