Reactions,Min Solutions,Max Solutions,Solution Biomass
ALATA_D2,0.0,1.0480273772155662,0.15784240381631304
SHCHD2,3.167897044593403e-05,3.519871579724764e-05,0.15784240381631304
CPPPGO,0.0,0.039291640597258023,0.15784240381631304
GTHOr,0.0,4.867747526873007,0.15784240381631304
DHORD5,0.0,0.42213755921185125,0.15784240381631304
GLYCTO2,0.0,1.748582435651285,0.15784240381631304
GLYCTO3,0.0,2.043367625917901,0.15784240381631304
GLYCTO4,0.0,0.6565323762927818,0.15784240381631304
PFK_3,5.7668572604658195,11.180603461756343,0.15784240381631304
TRPS2,0.0,0.1787782849297813,0.15784240381631304
G3PD5,0.0,2.2648474776835807,0.15784240381631304
EX_acgam_e,0.0,0.0,0.15784240381631304
EX_cellb_e,0.0,0.0,0.15784240381631304
EX_chol_e,0.0,0.0,0.15784240381631304
LEUTAi,0.0640016064303906,1.9800604644958353,0.15784240381631304
SHK3Dr,0.054141065190062475,0.15610733267412025,0.15784240381631304
G5SD,0.03140266731805357,1.4101221155168522,0.15784240381631304
ALATA_L2,0.0,1.3350185369510725,0.15784240381631304
MAN6PI,0.0,0.0,0.15784240381631304
APRAUR,6.335794089190605e-05,0.05472849166983348,0.15784240381631304
DB4PS,0.0001267158817838121,0.10945712432827648,0.15784240381631304
RBFK,3.167897044592527e-05,0.9823648803390372,0.15784240381631304
ACP1_FMN,0.0,0.9823332332425676,0.15784240381631304
RBFSb,6.33579408918593e-05,0.054728554916568584,0.15784240381631304
EX_pi_e,-0.271273134094129,-0.13703015679809438,0.15784240381631304
EX_h_e,-3.254796617630355,20.899226983695684,0.15784240381631304
DMATT,3.949216943484137e-05,4.3880188260935385e-05,0.15784240381631304
GRTT,3.949216943484137e-05,4.3880188260935534e-05,0.15784240381631304
UPP3S,6.335794089186806e-05,0.039323319567709625,0.15784240381631304
UPPDC1,3.167897044593403e-05,0.03929167831888685,0.15784240381631304
TMDPP,0.0,0.2037099753575323,0.15784240381631304
EX_ade_e,0.0,0.12304281868283264,0.15784240381631304
EX_4abut_e,0.0,0.9847025228381899,0.15784240381631304
EX_ac_e,0.0,6.347705799692546,0.15784240381631304
EX_akg_e,0.0,1.3957027275470757,0.15784240381631304
EX_ala__L_e,0.0,5.225676220852253,0.15784240381631304
EX_arg__L_e,0.0,0.2666455681711017,0.15784240381631304
EX_asp__L_e,0.0,1.6466863083235257,0.15784240381631304
EX_cytd_e,0.0,0.19662243736118495,0.15784240381631304
EX_dcyt_e,0.0,0.0,0.15784240381631304
EX_fum_e,0.0,1.7291397237755202,0.15784240381631304
EX_glu__L_e,0.0,1.4067071550033297,0.15784240381631304
EX_gua_e,0.0,0.11188543552156326,0.15784240381631304
HCO3E,0.0746691800971946,0.9645760853578274,0.15784240381631304
IMPC,-0.21522083375327838,-0.07707109952454971,0.15784240381631304
IMPD,0.0,0.6607335632928673,0.15784240381631304
ECOAH4,-0.05579540081221155,0.1947341752071452,0.15784240381631304
GLUTRS,0.0005068635271349445,0.31458685831466227,0.15784240381631304
TMPPP,3.167897044593403e-05,3.519807302373766e-05,0.15784240381631304
URIK1,0.0,1.2376401135410537,0.15784240381631304
URIK2,0.0,1.2333467810874748,0.15784240381631304
CYTDK1,0.0,1.5564887451266811,0.15784240381631304
CYTDK2,0.0,1.0858925328063471,0.15784240381631304
XPPT,0.0,0.7991033354522169,0.15784240381631304
HXPRT,0.0,0.629634050596165,0.15784240381631304
NDPK5,-0.41078302998607796,0.7462287901551174,0.15784240381631304
DHORTS,-0.42213751996675697,-0.046992130173375904,0.15784240381631304
OMPDC,0.04699213017337517,0.4221375988523856,0.15784240381631304
CS,0.15273980085966235,2.9229344355297364,0.15784240381631304
ICDHyr,0.15273980085966235,1.5594470479733986,0.15784240381631304
ACALD,-17.82115633393102,1.3862423381411872,0.15784240381631304
ACS,0.0,0.7406073348474442,0.15784240381631304
PPA,0.44315285582325725,1.8475657152204932,0.15784240381631304
PPCK,0.0,1.453334841994298,0.15784240381631304
ME1,0.0,1.7359864659426911,0.15784240381631304
ALAR,0.005921268368284409,2.073294816295281,0.15784240381631304
ALATA_L,-5.386571494177182,6.2631231490195205,0.15784240381631304
XYLK,0.0,0.0,0.15784240381631304
RBK,0.0,1.4855662205991138,0.15784240381631304
GLYK,0.0,1.4480100242829383,0.15784240381631304
PPM,-97.28729423632393,0.7066248186731627,0.15784240381631304
ASPTA,-10.277441015780905,-0.41592115824181436,0.15784240381631304
FBP,0.0,1.0195581306586887,0.15784240381631304
GLGC,0.0,0.7715874873794026,0.15784240381631304
PYK,0.0,7.674315834833534,0.15784240381631304
A5PISO,0.005527767255570336,0.05358726243601279,0.15784240381631304
EX_met__L_e,0.0,0.13334028590142158,0.15784240381631304
EX_metsox_S__L_e,0.0,0.0,0.15784240381631304
IPPMIb,-1.9800697460772199,-0.0640016064303906,0.15784240381631304
ACHBS,0.041272016164514654,0.4652594586705953,0.15784240381631304
ACLS,0.12421097018789246,2.9893494236623948,0.15784240381631304
PSCVT,0.05414106519006247,0.1561073111203437,0.15784240381631304
ANS,0.008075012184117615,0.08777436157681873,0.15784240381631304
ANPRT,0.008075012184117615,0.08777446178662954,0.15784240381631304
CHORM,0.04593933712416112,0.14790555308010822,0.15784240381631304
CHORS,0.054141065190062475,0.1561073326741247,0.15784240381631304
IGPS,0.008075012184117615,0.08777447863770707,0.15784240381631304
EX_crn_e,0.0,0.0,0.15784240381631304
EX_fe3_e,-1.4229986721549759,16.784934730284476,0.15784240381631304
EX_glcn_e,0.0,0.8579707833975192,0.15784240381631304
EX_gln__L_e,0.0,0.0,0.15784240381631304
EX_glyc_e,0.0,0.9300922568998811,0.15784240381631304
EX_man_e,0.0,0.0,0.15784240381631304
EX_mn2_e,-0.00010906689419698523,-9.816219093336509e-05,0.15784240381631304
EX_rib__D_e,0.0,0.0,0.15784240381631304
EX_sbt__D_e,0.0,0.0,0.15784240381631304
ECOAH6,-0.15296702050682986,0.06352987735932183,0.15784240381631304
ENO,15.296980259003092,19.89806958545242,0.15784240381631304
FBA,-1.019557598867689,0.9088939759420782,0.15784240381631304
MGSA,0.0,0.9872454574852476,0.15784240381631304
PPS,0.0,1.4471503072687342,0.15784240381631304
PGI,-0.9107596777746187,11.086506612217796,0.15784240381631304
PGK,-19.65830702596334,-15.54871623199774,0.15784240381631304
EDA,0.0,1.4630995584444122,0.15784240381631304
PGL,0.0,1.6512951371742983,0.15784240381631304
RPE,-0.44698981299961815,0.6987885079143261,0.15784240381631304
TALA,-11.208658765216464,-5.760711631513029,0.15784240381631304
TKT1,-0.19644765170981415,0.37648061527048604,0.15784240381631304
G6PDA,0.0,1.3070586056290465,0.15784240381631304
ALCD2x,-15.582810961118298,0.0,0.15784240381631304
ALDD2y,0.0,5.102852256368219,0.15784240381631304
RMI,0.0,0.0,0.15784240381631304
EX_ura_e,0.0,0.3751459991766414,0.15784240381631304
EX_val__L_e,0.0,2.8597591013845634,0.15784240381631304
EX_xan_e,0.0,0.13215556898432126,0.15784240381631304
FMNAT,3.167897044593915e-05,0.03501738429390149,0.15784240381631304
NADDP,0.0,0.42717110834059185,0.15784240381631304
NMNAT,0.0,0.4271711083406031,0.15784240381631304
HMPK1,0.0,0.0,0.15784240381631304
NDPK6,0.0,0.050494590151515695,0.15784240381631304
NDPK8,-0.5088992542854612,0.6686327262057107,0.15784240381631304
