ngam,gam,biomass,status
0,40.0,0.98149230450261,optimal
0,45.0,0.94776618518766,optimal
0,50.0,0.916280866381237,optimal
0,55.0,0.886820205663018,optimal
0,60.0,0.859194895779864,optimal
0,70.0,0.808050346857625,optimal
0,75.55,0.781750927544274,optimal
0,80.0,0.761869153157721,optimal
0,100.0,0.683718264654355,optimal
1,40.0,0.974857301912701,optimal
1,45.0,0.941359174837019,optimal
1,50.0,0.910086700512959,optimal
1,55.0,0.880825198484904,optimal
1,60.0,0.853386186510633,optimal
1,70.0,0.802386700289261,optimal
1,75.55,0.776271614311713,optimal
1,80.0,0.756529191145956,optimal
1,100.0,0.678926064987126,optimal
2,40.0,0.968222300402029,optimal
2,45.0,0.934952165795897,optimal
2,50.0,0.903892535868641,optimal
2,55.0,0.874830188594828,optimal
2,60.0,0.847577477241378,optimal
2,70.0,0.79672305372091,optimal
2,75.55,0.770792301079182,optimal
2,80.0,0.751189229808443,optimal
2,100.0,0.674133865348902,optimal
3,40.0,0.961587298891332,optimal
3,45.0,0.928545156754802,optimal
3,50.0,0.897698371224326,optimal
3,55.0,0.868835160101876,optimal
3,60.0,0.841768758661001,optimal
3,70.0,0.791059407152563,optimal
3,75.55,0.765312987846636,optimal
3,80.0,0.745849268470909,optimal
3,100.0,0.669341665652634,optimal
4,40.0,0.954952297380646,optimal
4,45.0,0.922138147713689,optimal
4,50.0,0.891504207495146,optimal
4,55.0,0.862840131608907,optimal
4,60.0,0.835960036610652,optimal
4,70.0,0.785395760584191,optimal
4,75.55,0.759833674614134,optimal
4,80.0,0.74050930713338,optimal
4,100.0,0.664549466014005,optimal
5,40.0,0.948317295869942,optimal
5,45.0,0.915731138672578,optimal
5,50.0,0.885310043118294,optimal
5,55.0,0.856844766552353,optimal
5,60.0,0.830045885414536,optimal
5,70.0,0.779732114015861,optimal
5,75.55,0.754354361381571,optimal
5,80.0,0.735169345795862,optimal
5,100.0,0.659757266200036,optimal
6,40.0,0.941682294359263,optimal
6,45.0,0.909324129631484,optimal
6,50.0,0.879115877291371,optimal
6,55.0,0.850849278932927,optimal
6,60.0,0.824016780743853,optimal
6,70.0,0.774068467447494,optimal
6,75.55,0.748875048149047,optimal
6,80.0,0.729829384458335,optimal
6,100.0,0.654962978938147,optimal
7,40.0,0.935047292848568,optimal
7,45.0,0.902917120590367,optimal
7,50.0,0.872921698715986,optimal
7,55.0,0.84485378565442,optimal
7,60.0,0.817987676073167,optimal
7,70.0,0.768404820879143,optimal
7,75.55,0.743395734916506,optimal
7,80.0,0.724489423120807,optimal
7,100.0,0.650155347380637,optimal
