Iteration,Biomass
0,0.02959882354850739
1,0.049665780527601094
2,0.06259639516091324
3,0.06859742688798784
4,0.0744265792868392
5,0.07740527781135964
6,0.08173490313006819
7,0.08250533223764256
8,0.08547212089793627
9,0.08808971764264223
10,0.0903302193383415
11,0.0901510077762681
12,0.09181234618941846
13,0.0936505546502848
14,0.09515376690853947
15,0.09639958171509788
16,0.09763280714973606
17,0.09853534663824288
18,0.09919709220703062
19,0.09937190661702335
20,0.1000277787114322
21,0.10081108388401998
