ngam,gam,biomass,status
0,40.0,0.981281411752289,optimal
0,45.0,0.947602145876631,optimal
0,50.0,0.916158027532739,optimal
0,55.0,0.886733697314129,optimal
0,60.0,0.859140483953636,optimal
0,70.0,0.808040650189223,optimal
0,75.55,0.781757758596739,optimal
0,80.0,0.761887754547778,optimal
0,100.0,0.683777097598373,optimal
1,40.0,0.974654957472195,optimal
1,45.0,0.941203123938915,optimal
1,50.0,0.909971343234796,optimal
1,55.0,0.880745710441016,optimal
1,60.0,0.85333827944662,optimal
1,70.0,0.802380870419543,optimal
1,75.55,0.776282072756051,optimal
1,80.0,0.756551244684108,optimal
1,100.0,0.678987700175123,optimal
2,40.0,0.968028504269967,optimal
2,45.0,0.934804102001193,optimal
2,50.0,0.903784658936843,optimal
2,55.0,0.874757721466484,optimal
2,60.0,0.847536076014883,optimal
2,70.0,0.796721090649764,optimal
2,75.55,0.770806386915362,optimal
2,80.0,0.75121473482042,optimal
2,100.0,0.674198302811054,optimal
3,40.0,0.961402051067732,optimal
3,45.0,0.928405080063486,optimal
3,50.0,0.897597974638883,optimal
3,55.0,0.868769714097995,optimal
3,60.0,0.841733863126659,optimal
3,70.0,0.791061310880038,optimal
3,75.55,0.76533070107469,optimal
3,80.0,0.745878224956736,optimal
3,100.0,0.66940890541734,optimal
4,40.0,0.954775597865514,optimal
4,45.0,0.922006058125763,optimal
4,50.0,0.891411290340937,optimal
4,55.0,0.862781706729485,optimal
4,60.0,0.835931646834916,optimal
4,70.0,0.78540153111031,optimal
4,75.55,0.759855015234014,optimal
4,80.0,0.740541715093028,optimal
4,100.0,0.664619508142291,optimal
5,40.0,0.948149144663295,optimal
5,45.0,0.915607036188039,optimal
5,50.0,0.885224606042999,optimal
5,55.0,0.856793281160597,optimal
5,60.0,0.830022018158783,optimal
5,70.0,0.779741751340572,optimal
5,75.55,0.754379329393336,optimal
5,80.0,0.735205205229343,optimal
5,100.0,0.659830110630032,optimal
6,40.0,0.941522691461059,optimal
6,45.0,0.909208014250322,optimal
6,50.0,0.879037921745057,optimal
6,55.0,0.850804710556206,optimal
6,60.0,0.823997277507485,optimal
6,70.0,0.77408197157085,optimal
6,75.55,0.748903643552651,optimal
6,80.0,0.72986869536566,optimal
6,100.0,0.655038886106316,optimal
7,40.0,0.934896238258839,optimal
7,45.0,0.902808992312606,optimal
7,50.0,0.872851222030258,optimal
7,55.0,0.84481613416561,optimal
7,60.0,0.817972536856208,optimal
7,70.0,0.768422191801121,optimal
7,75.55,0.743427957711971,optimal
7,80.0,0.724532185501962,optimal
7,100.0,0.650234202576,optimal
